timeline,userId,comment
[00:00:04],<라면이왜케짜>,오
[00:00:04],<휙휙>,무냐구
[00:00:04],<사냥견>,와!!
[00:00:04],<지리산개작두>,켯다!
[00:00:04],<redddmage>,뼈
[00:00:04],<ddoo_dda>,dhk!
[00:00:04],<Et5479>,555
[00:00:04],<nijsoo>,와
[00:00:04],<아마존고라니>,??
[00:00:05],<dpqmfltusak>,조심해
[00:00:05],<모래마찰>,^^7
[00:00:05],<아니그걸왜들어가>,무친
[00:00:05],<조얼음>,침하
[00:00:05],<texasyoo>,무친!!!
[00:00:05],<3799_2>,와
[00:00:06],<붉은팥죽풋팥죽>,우오오오오옹
[00:00:06],<볼테르>,와오!
[00:00:06],<무친너구리섬>,와와
[00:00:06],<이웃집또털엇>,우오
[00:00:06],<별빛언저리너머>,무친!
[00:00:06],<한펜>,5
[00:00:07],<ddoo_dda>,와!!!!!!!!!1
[00:00:07],<FreeTreeY>,와
[00:00:07],<Atapjs94>,가즈아ㅏㅏㅏㅏㅏㅏㅏㅏㅏ
[00:00:07],<뼈치킨조아>,오
[00:00:07],<모래마찰>,무냐구우우우
[00:00:07],<roonus___>,ㄷㄷㄷㄷ
[00:00:07],<사냥견>,유두잔치!!
[00:00:08],<쮸니모카트>,침하
[00:00:08],<dpqmfltusak>,치마
[00:00:08],<ddoo_dda>,침하침하ㅏ
[00:00:09],<말은돼지>,뭐여
[00:00:09],<d0gpig>,침
[00:00:09],<dldudalseva0>,뼈치킨
[00:00:10],<이웃집또털엇>,아
[00:00:10],<roonus___>,뼈방장
[00:00:10],<뼈치킨조아>,치마
[00:00:11],<돌숭이동인지>,침하
[00:00:11],<ddoo_dda>,침하ㅏㅏㅏㅏㅏ
[00:00:11],<아니그걸왜들어가>,ㅉㅉㅍㅌ!!!!!!!!!
[00:00:12],<한펜>,뼈
[00:00:12],<아마존고라니>,찌찌파티!!찌찌파티!!찌찌파티!!찌찌파티!!찌찌파티!!찌찌파티!찌찌파티!!찌찌파티!!
[00:00:12],<글로리입니다>,뼈치킨
[00:00:13],<소소아히>,워우와
[00:00:13],<사과시리>,아
[00:00:13],<쮸니모카트>,뭐냐구웃~
[00:00:13],<담백한육개장>,뼈
[00:00:13],<먹황새끼>,침하
[00:00:13],<texasyoo>,와ㅏㅏㅏ
[00:00:14],<dafttaengk>,무친
[00:00:14],<모히또바_또>,박재범!박재범!
[00:00:14],<슈빔>,제이팍씨
[00:00:14],<roonus___>,치마
[00:00:14],<산돌이_>,뼈치킨
[00:00:14],<nijsoo>,침하
[00:00:14],<모래마찰>,무냐구우우~~~!!!!!!!
[00:00:15],<볼테르>,사람이름이
[00:00:15],<송어1>,뼈치킨!
[00:00:16],<아니그걸왜들어가>,재범오빠
